PX,PX_TYPE
27792,CH
27814,CH
27822,CH
27823,CH
27826,CH
27827,CH
27828,CH
27829,CH
27832,CH
27846,CH
27848,CH
27870,CH
27871,CH
27880,CH
27881,CH
27882,CH
27884,CH
27886,CH
27888,CH
27889,CH
27892,CH
27893,CH
27894,CH
28005,CH
28008,CH
28010,CH
28011,CH
28020,CH
28022,CH
28024,CH
28030,CH
28035,CH
28041,CH
28045,CH
28046,CH
28047,CH
28055,CH
28060,CH
28062,CH
28070,CH
28072,CH
28080,CH
28086,CH
28088,CH
28090,CH
28092,CH
28100,CH
28102,CH
28103,CH
28104,CH
28106,CH
28107,CH
28108,CH
28110,CH
28111,CH
28112,CH
28113,CH
28114,CH
28116,CH
28118,CH
28119,CH
28120,CH
28122,CH
28124,CH
28126,CH
28130,CH
28140,CH
28150,CH
28153,CH
28160,CH
28171,CH
28173,CH
28175,CH
28200,CH
28202,CH
28208,CH
28210,CH
28220,CH
28222,CH
28225,CH
28226,CH
28230,CH
28232,CH
28234,CH
28238,CH
28240,CH
28250,CH
28260,CH
28261,CH
28262,CH
28264,CH
28270,CH
28272,CH
28280,CH
28285,CH
28286,CH
28288,CH
28289,CH
28290,CH
28291,CH
28292,CH
28293,CH
28294,CH
28295,CH
28296,CH
28297,CH
28298,CH
28299,CH
28300,CH
28302,CH
28304,CH
28305,CH
28306,CH
28307,CH
28308,CH
28309,CH
28310,CH
28312,CH
28313,CH
28315,CH
28320,CH
28322,CH
28340,CH
28341,CH
28344,CH
28345,CH
28360,CH
28415,CH
28420,CH
28445,CH
28446,CH
28465,CH
28485,CH
28505,CH
28525,CH
28531,CH
28555,CH
28585,CH
28615,CH
28645,CH
28675,CH
28705,CH
28715,CH
28725,CH
28730,CH
28735,CH
28737,CH
28740,CH
28750,CH
28755,CH
28760,CH
28800,CH
28805,CH
28810,CH
28820,CH
28825,CH
29806,CH
29807,CH
29819,CH
29820,CH
29821,CH
29822,CH
29823,CH
29824,CH
29825,CH
29827,CH
29828,CH
29834,CH
29835,CH
29836,CH
29837,CH
29838,CH
29843,CH
29844,CH
29845,CH
29846,CH
29847,CH
29848,CH
29851,CH
29855,CH
29856,CH
29861,CH
29862,CH
29863,CH
29866,CH
29867,CH
29868,CH
29873,CH
29874,CH
29875,CH
29876,CH
29877,CH
29879,CH
29880,CH
29881,CH
29882,CH
29883,CH
29884,CH
29885,CH
29886,CH
29887,CH
29888,CH
29889,CH
29891,CH
29892,CH
29893,CH
29894,CH
29895,CH
29897,CH
29898,CH
29899,CH
29901,CH
29902,CH
29904,CH
29905,CH
29906,CH
29907,CH
29914,CH
29915,CH
29916,CH
30125,CH
30130,CH
30140,CH
30150,CH
30160,CH
30400,CH
30410,CH
30420,CH
30430,CH
30435,CH
30450,CH
30460,CH
30462,CH
30465,CH
30520,CH
30540,CH
30545,CH
30580,CH
30600,CH
30620,CH
30630,CH
30915,CH
30920,CH
30930,CH
31040,CH
31070,CH
31075,CH
